titulo,parrafo
Holkham Hall,"['\n\n', ' (', ' or ', ') is an 18th-century ', ' near the village of ', ', ', ', England, constructed in the ', ' style for the ', ',', ' by the architect ', ', aided by  ']"
Greece runestones,"['\n', 'The ', ' (', ': ', ') are about 30 ', ' containing information related to voyages made by ', ' to the ', '. They were made during the ', ' until about 1100 and were engraved in the ', ' language with ', '. All the stones have been found in modern-day ', ', the majority in ', ' (18 runestones) and ', ' (7 runestones). Most were inscribed in memory of members of the ', ' who never returned home, but a few inscriptions mention men who returned with wealth, and a ', ' was engraved on the orders of a former officer of the Guard.\n', 'On these runestones the word ', ' (""', '"") appears in three inscriptions,', ' the word ', ' (""']"
Guilden Morden boar,"['\n\n\n', 'The ', ' is a sixth- or seventh-century ', ' copper alloy figure of a ', ' that may have once served as the crest of a helmet. It was found around 1864 or 1865 in a grave in ', ', a village in the eastern English county of ', '. There the boar attended a skeleton with other objects, including a small earthenware bead with an incised pattern,', ' although the boar is all that now remains.', ' ', ', whose father originally discovered the boar, donated it to the ', ' in 1904; as of 2018 it was on view in ', '\n', 'The boar is simply designed, distinguished primarily by a prominent mane; eyes, eyebrows, nostrils and tusks are only faintly present.', ' A pin and socket design formed by the front and hind legs suggests that the boar was mounted on another object, such as a helmet.', ' Such is the case on one of the contemporary ', ' found in Sweden, where boar-crested helmets are depicted similarly.', '\n', ' are a staple of Anglo-Saxon imagery, evidence of a ', ' in which the boar invoked the protection of deities.', ' The Guilden Morden boar is one of three—together with the helmets from ', ' and ']"
Ham House,"['\n\n\n', ' is a 17th-century house set in formal gardens on the bank of the ', ' in ', ', south of ', ' in the ', '. The original house was completed in 1610 by ', ', an Elizabethan courtier and ', ' to ', '. It was then leased, and later bought, by ', ', a close friend and supporter of ', '. The ', ' saw the house and much of the estate ', "", but Murray's wife "", ' regained them on payment of a fine. During ', ' his daughter ', "", Countess of Dysart on her father's death in 1655, successfully navigated the prevailing anti-royalist sentiment and retained control of the estate.\n"", ""The house achieved its greatest period of prominence following Elizabeth's second marriage—to "", ', Duke of Lauderdale, in 1672. The Lauderdales held important roles at the court of the restored ', ', the duke being a member of the ', ' and holder of major positions in Scotland, while the Duchess exercised significant social and political influence. They began an ambitious program of development and embellishment at Ham. The house was almost doubled in size and equipped with private apartments for the Duke and Duchess, as well as princely accommodation suites for visitors. The house was furnished to the highest standards of courtly taste and decorated with ""a lavishness which transcended even what was fitting to their exalted rank"".', ' The Lauderdales accumulated notable collections of paintings, tapestries and furniture, and redesigned the gardens and grounds to reflect their status and that of their guests.\n']"
Gevninge helmet fragment,"['\n', '\n\n', 'The ', ' is the ', ' eyepiece of a helmet from the ', ' or end of the ', '. It was found in 2000 during the ', ' of a Viking farmstead in ', ', near ', ', Denmark. The fragment is moulded from bronze and ', ', and consists of a stylised eyebrow with eyelashes above an oval opening. There are three holes at the top and bottom of the fragment to affix the eyepiece to a helmet. The fragment is significant as rare evidence of contemporaneous helmets, and also for its discovery in Gevninge, an outpost that is possibly connected to the ', ' epic ', '. It has been in the collection of the ', ' since its discovery, and has been exhibited internationally as part of a travelling exhibition on ']"
Georgetown Car Barn,"['\n\n\n', 'The ', ', historically known as the ', ', is a building in the ', ' neighborhood of ', ', in the United States. Designed by the architect ', ', it was built between 1895 and 1897 by the ', ' as a ', ' for several Washington and ', ' ', ' lines. The adjacent ', ', later named after their appearance in ', ""'s 1973 horror film "", ', were built during the initial construction to connect ', ' with Prospect Street.\n', ""Intended for dual use as a passenger station and as a storage house for the streetcars, the Car Barn began Washington's only "", ' system. Almost immediately after the building opened, the system was electrified, and the Car Barn was converted to accommodate electric streetcars. Throughout its history as a terminal and storage facility, the Car Barn was never utilized to the extent anticipated by its construction.\n', 'The building has undergone several renovations, the most extensive in 1911, when the original ', ' façade was significantly modified, and the interior was almost completely gutted. Not long after its opening, the building fell into disrepair. Changing ownership over time, it maintained its original function of housing streetcars until 1950, when it was redeveloped as office space. Among its occupants was the ', ', an arm of the ', ', which operated out of the Car Barn in the 1960s and 1970s. Today, it is used as an academic building by ']"
Tahiti rail,"['\n\n\n', '\n', 'The ', ', ', ', or ', ' (', ') is an ', ' species of ', ' that lived on ', '. It was first recorded during ', ""'s "", ' around the world (1772–1775), on which it was illustrated by ', ' and described by ', '. No specimens have been preserved. As well as the documentation by the Forsters, there have been claims that the bird also existed on the nearby island of ', '. The Tahiti rail appears to have been closely related to, and perhaps derived from, the ', ', and has also been historically confused with the ', ' subspecies of that bird.\n', 'The Tahiti rail was 9 inches (23 centimetres) long, and its colouration was unusual for a rail. The underparts, throat, and eyebrow-like ', ' were white, and the upper parts were black with white dots and bands. The nape (or hind neck) was ferruginous (rust-coloured), the breast was grey, and it had a black band across the lower throat. The bill and iris were red, and the legs were fleshy pink. The Tahiti rail was supposedly ', ' and ', ' on the ground. It is said to have been seen in open areas, marshes, and in coconut plantations. Its diet appears to have consisted mainly of ']"
Snoring rail,"['\n\n', '\n', 'The ', ' (', '), also known as the ', ' or ', ', is a large flightless ', ' and the only member of the ', ' ', '.  The species is ', ' to ', ', and it is found exclusively in dense vegetation in wet areas of ', ' and nearby ', '. The rail has grey underparts, a white chin, brown wings and a ', ' patch on the hind-neck. The sexes are similar, but the female has a brighter neck patch and a differently coloured bill and ', '. The typical call is the snoring: ', ' sound that gives the bird its English name.\n', 'Its inaccessible ', ' and retiring nature mean that the snoring rail is rarely seen and as a result, little is known of its behaviour. Only the adult plumage has been described, and the breeding behaviour is unrecorded. It feeds on small crabs and probably other small prey such as lizards. Although protected under Indonesian law since 1972, the rail is threatened by ', ' (even within nature reserves), hunting for food and ', ' by ']"
Spotted green pigeon,"['\n\n', 'The ', ' or ', ' (', ') is a ', ' of ', ' which is most likely ', '. It was first mentioned and ', ' in 1783 by ', ', who had seen two specimens of unknown ', ' and a drawing depicting the bird. The ', ' relationships of the bird were long obscure, and early writers suggested many different possibilities, though the idea that it was related to the ', ' (', ') prevailed, and it was therefore placed in the same ', ', ', '. Today, the species is only known from a specimen kept in ', '. Overlooked for much of the 20th century, it was recognised as a valid extinct species by the ', ' only in 2008. It may have been native to an island somewhere in the ', ' or the ', ', and it has been suggested that a bird referred to as ', ' by ']"
Splendid fairywren,"['\n', 'The ', ' (', ') is a ', ' bird in the ', ' family, Maluridae. It is also known simply as the ', ' or more colloquially in ', ' as the ', ' The splendid fairywren is found across much of the Australian continent from central-western ', ' and southwestern ', ' over to coastal Western Australia. It inhabits predominantly ', ' and semi-arid regions. Exhibiting a high degree of ', ', the male in breeding plumage is a small, long-tailed bird of predominantly bright blue and black colouration. Non-breeding males, females and juveniles are predominantly grey-brown in colour; this gave the early impression that males were polygamous as all dull-coloured birds were taken for females. It comprises several similar all-blue and black subspecies that were originally considered separate species.\n', 'Like other fairywrens, the splendid fairywren is notable for several peculiar behavioural characteristics; the birds are socially ', ' and sexually ', ', meaning that although they form pairs between one male and one female, each partner will mate with other individuals and even assist in raising the young from such trysts.', ' Male wrens pluck pink or purple petals and display them to females as part of a courtship display.', '\n', 'The habitat of the splendid fairywren ranges from forest to dry scrub, generally with ample vegetation for shelter. Unlike the eastern ', ', it has not adapted well to human occupation of the landscape and has disappeared from some urbanised areas. The splendid fairywren mainly eats insects and supplements its diet with seeds.\n', 'The splendid fairywren is one of eleven species of the genus ']"
Sind sparrow,"['\n\n\n', 'The ', ' (', ') is a ', ' bird of the ', ' ', ', Passeridae, found around the ', ' valley region in ', '. It is also known as the ', ', ', ', or ', '. Very similar to the related ', ', it is smaller and has distinguishing ', ' features. As in the house sparrow, the male has brighter plumage than female and young birds, including black markings and a grey crown. Distinctively, the male has a chestnut stripe running down its head behind the eye, and the female has a darker head than other sparrow species. Its main ', ' are soft chirping calls that are extended into longer songs with other sounds interspersed by breeding males. Historically, this species was thought to be very closely related to the house sparrow, but its closest evolutionary affinities may lie elsewhere. The species was discovered around 1840, but went undetected for several decades afterwards.\n', 'Within its Indus valley breeding range in ', ' and western ', ', the Sind sparrow is patchily distributed in riverine and wetland habitats with thorny scrub and tall grass. During the non-breeding season, some birds enter drier habitats as they disperse short distances from their breeding habitat, or migrate into western Pakistan and the extreme east of ', '. Since this species is fairly common and expanding its range, it is assessed as ', ' on the ', '. The Sind sparrow is social while feeding and gathers in small groups both while breeding and during winter dispersal. It feeds mostly on seeds and less often on insects, foraging close to the ground. Nests are made in the branches of thorny trees, and are untidy globular masses constructed from grass or other plant matter and lined with softer material. Both sexes are involved in building the nest and caring for the young, and usually raise two clutches of three to five young each breeding season.\n']"
Siberian accentor,"['\n\n', 'The ', ' (', ') is a small ', ' ', ' that breeds in northern Russia from the ', ' eastwards across ', '. It is ', ', wintering in Korea and eastern China, with rare occurrences in western Europe and northwestern North America. Its typical breeding habitat is ', ' ', ' forests and open ', ' woodland, often close to water, although it also occurs in mountains and ', ' ', '. It inhabits bushes and shrubs in winter, frequently near streams, but may also be found in dry grassland and woods.\n', 'The Siberian accentor has brown upperparts and wings, with bright chestnut streaking on its back and a greyish-brown rump and tail. The head has a dark brown crown and a long, wide pale yellow ', ' (""eyebrow""). All ', ' are quite similar. The nest is an open cup in dense shrub or a tree into which the female lays four to six glossy deep blue-green eggs that hatch in about ten days. Adults and chicks feed mainly on insects, typically picked off the ground, but sometimes taken from vegetation. In winter, the accentors may also consume seeds or feed near human habitation.\n', 'Breeding over a huge area, the Siberian accentor has a large and stable population. It is therefore evaluated as a ', ' by the ', ' (IUCN), although, as a northern breeding species, it may be affected by ', ' in the long term. October and November 2016 saw an unprecedented influx of this species into western Europe, reaching as far as the United Kingdom.\n']"
Superb fairywren,"['\n', '6, see ', '\n', 'The ', ' (', ') is a ', ' ', ' in the ', ' family, Maluridae, and is common and familiar across south-eastern Australia. It is a sedentary and ', ' species, also exhibiting a high degree of ', '; the male in breeding plumage has a striking bright blue forehead, ear ', ', mantle, and tail, with a black mask and black or dark blue throat. Non-breeding males, females and juveniles are predominantly grey-brown in colour; this gave the early impression that males were polygamous, as all dull-coloured birds were taken for females. Six subspecies groups are recognized: three larger and darker forms from Tasmania, Flinders and King Island respectively, and three smaller and paler forms from mainland Australia and Kangaroo Island.\n', 'Like other fairywrens, the superb fairywren is notable for several peculiar behavioural characteristics; the birds are socially ', ' and sexually ', ', meaning that although they form pairs between one male and one female, each partner will mate with other individuals and even assist in raising the young from such pairings. Male wrens pluck yellow petals and display them to females as part of a courtship display.\n', 'The superb fairywren can be found in almost any area that has at least a little dense undergrowth for shelter, including grasslands with scattered shrubs, moderately thick forest, woodland, heaths, and domestic ', '. It has adapted well to the urban environment and is common in suburban Sydney, ', ', ', ' and ', '. The superb fairywren eats mostly insects and supplements its diet with seeds.\n', ""The superb fairywren was named 'Australian Bird of the Year' for 2021, after a survey conducted by ""]"
St. Croix macaw,"['\n', ' ', '\n', 'The ', ' (', ') or ', ', is an ', ' species of ', ' whose remains have been found on the ', ' of ', ' and ', '. It was described in 1937 based on a ', ' leg bone unearthed from a ', ' at a ', ' site on St. Croix. A second specimen consisting of various bones from a similar site on Puerto Rico was described in 2008, while a ', ' from ', ' may belong to this or another extinct species of macaw. The St. Croix macaw is one of 13 extinct macaw species that have been proposed to have lived on the Caribbean islands. Macaws were frequently transported long distances by humans in prehistoric and historical times, so it is impossible to know whether species known only from bones or accounts were native or imported.\n', ""As it is only known from bones, the St. Croix macaw's color is not known. Extant macaws can generally be grouped in either large-body or small-body size clusters. Yet, the bones of the St. Croix macaw are intermediate in size between the two, and it was slightly larger than the extinct "", ' (', '). Only the ', ' (']"
Song thrush,"['\n', '\n', 'The ', ' (', ') is a ', ' that breeds across the West ', '. It has brown upper-parts and black-spotted cream or buff underparts and has three recognised ', '. Its distinctive ', ', which has repeated musical phrases, has frequently been referred to in poetry.\n', 'The song thrush breeds in forests, gardens and parks, and is partially ', ' with many birds wintering in southern Europe, North Africa and the Middle East; it has also been introduced into New Zealand and Australia. Although it is not threatened globally, there have been serious population declines in parts of Europe, possibly due to changes in farming practices.\n', 'The song thrush builds a neat mud-lined ', ' in a bush or tree and lays four to five dark-spotted blue ', '. It is ', ' and has the habit of using a favourite stone as an ""', '"" on which to break open the shells of ', '. Like other perching birds (', '), it is affected by external and internal ', ' and is vulnerable to ', ' by ', ' and ']"
Rodrigues rail,"['\n\n\n\n', 'The ', ' (', '), also known as ', ' or ', ', is an ', ' species of the ', ' that was endemic to the ', ' island of ', ', east of Madagascar in the Indian Ocean. It is generally kept in its own genus, ', ', but has sometimes been assigned to the genus ', ' along with its close relative the ', ' (', ') of ', '; their relationship with other rails is unclear. The Rodrigues rail was about 35\xa0cm (14\xa0in) long and weighed at least 500\xa0g (18\xa0oz). It was described as having grey plumage, a red beak, red legs, and a naked red patch around the eye. The beak was long and curved downwards. It was ', ' and fed on tortoise eggs. It was described as being attracted to red objects, which humans exploited while hunting it.\n', 'The Rodrigues rail is believed to have become extinct in the mid-18th century because of predation by introduced cats and destruction of its habitat by tortoise hunters. The bird was first documented from life by two contemporaneous accounts; first by ', ', a ', ' refugee ', ' on Rodrigues in 1691, and then by Julien Tafforet, marooned on the island in 1726. Subfossil remains were later discovered and connected with the old accounts in 1874, and the species was named ', "" in Leguat's honour.\n""]"
Rodrigues solitaire,"['\n', '\n\n', 'The ', ' (', ') is an ', ' ', ' that was ', ' to the island of ', ', east of ', ' in the Indian Ocean. Genetically within the family of ', ', it was most closely related to the also extinct ', ' of the nearby island ', ', the two forming the subfamily ', '. The ', ' is their closest living genetic relative.\n', 'Rodrigues solitaires grew to the size of ', ', and demonstrated pronounced ', '. Males were much larger than females and measured up to 90 centimetres (35 inches) in length and 28 kilograms (62 pounds) in weight, contrasting with 70 centimetres (28\xa0in) and 17 kilograms (37\xa0lb) for females. Its ', ' was grey and brown; the female was paler than the male. It had a black band at the base of its slightly hooked beak, and its neck and legs were long. Both sexes were highly ', ', with large bony knobs on their wings that were used in combat. The Rodrigues solitaire laid a single egg that was incubated in turn by both sexes. ', ' helped digest its food, which included fruit and seeds.\n']"
Scarlet myzomela,"['\n\n', 'The ', ' or ', ' (', ') is a small ', ' bird of the honeyeater family ', ' native to ', '. It was first ', ' by English ornithologist ', ' in 1801. At 9 to 11 centimetres (3.5 to 4.3\xa0in) long, it is the smallest honeyeater in Australia. It has a short tail and relatively long down-curved bill. It is ', '; the male is a striking bright red with black wings, while the female is entirely brown. The species is more vocal than most honeyeaters, and a variety of calls have been recorded, including a bell-like tinkling.\n', 'The scarlet myzomela is found along most of the eastern coastline, from ', ' in the far north to ', ' in ', '. It is ', ' in the southern parts of its range, with populations moving north in the winter. Its natural ', ' is forest, where it forages mainly in the upper ', '. It is ', ', feeding on insects as well as nectar. Up to three broods may be raised over the course of a breeding season. The female lays two or rarely three flecked white eggs in a 5 centimetres (2\xa0in) diameter cup-shaped nest high in a tree. The ', ' (IUCN) has assessed it as being of ', ' on account of its large range and apparently stable population.\n']"
Rodrigues starling,"['\n', '\n', 'The ', ' (', ') is an ', ' species of ', ' that was ', ' to the ', ' island of ', '. Its closest relatives were the ', ' and the ', ' from nearby islands; all three are extinct and appear to be of Southeast Asian origin. The bird was only reported by French sailor ', ', who was marooned on the island from 1725 to 1726. Tafforet observed it on the offshore ', ' of ', '. ', ' remains found on the mainland were described in 1879, and were suggested to belong to the bird mentioned by Tafforet. There was much confusion about the bird and its taxonomic relations throughout the 20th century.\n', ""The Rodrigues starling was 25–30 centimetres (10–12 inches) long, and had a stout beak. It was described as having a white body, partially black wings and tail, and a yellow bill and legs. Little is known about its behaviour. Its diet included eggs and dead tortoises, which it processed with its strong bill. Predation by rats introduced to the area was probably responsible for the bird's extinction some time in the 18th century. It first became extinct on mainland Rodrigues, then on Île Gombrani, its last refuge.\n"", 'In 1725, the French sailor ', ' was marooned on the ', ' island of ', ' for nine months, and his report of his time there was later published as ']"
Ring ouzel,"['\n\n', 'The ', ' (', ') is a mainly European member of the ', ' family ', '. It is a medium-sized thrush, 23–24 centimetres (9.1–9.4\xa0in) in length and weighing 90–138 grams (3.2–4.9\xa0oz). The male is predominantly black with a conspicuous white crescent across its breast. Females are browner and duller than males, and young birds may lack the pale chest markings altogether. In all but the northernmost part of its ', ', this is a high-altitude species, with three races breeding in mountains from Ireland east to Iran. It breeds in open mountain areas with some trees or shrubs, the latter often including ', ', ', ', ', ', ', ' or ', '. It is a ', ', leaving the breeding areas to winter in southern Europe, ', ' and Turkey, typically in mountains with juniper bushes. The typical ', ' is 3–6 brown-flecked pale blue or greenish-blue eggs. They are incubated almost entirely by the female, with hatching normally occurring after 13\xa0days. The ', ', downy chicks ', ' in another 14\xa0days and are dependent on their parents for about 12\xa0days after fledging.\n', 'The ring ouzel is ', ', eating ', ', particularly ', ' and ']"
Réunion ibis,"['\n', '\n\n', 'The ', ' or ', ' (', ') is an ', ' ', ' of ', ' that was ', ' to the volcanic island of ', ' in the Indian Ocean. The first ', ' remains were found in 1974, and the ibis was first scientifically described in 1987. Its closest relatives are the ', ', the ', ', and the ', "". Travellers' accounts from the 17th and 18th centuries described a white bird on Réunion that flew with difficulty and preferred "", ', which was subsequently referred to as the ""', '"". \n', ""In the mid 19th century, the old travellers' accounts were incorrectly assumed to refer to white relatives of the "", ', due to one account specifically mentioning dodos on the island, and because 17th-century paintings of white dodos had recently surfaced. However, no fossils referable to dodo-like birds were ever found on Réunion, and it was later questioned whether the paintings had anything to do with the island. Other identities were suggested as well, based only on speculations. In the late 20th century, the discovery of ibis ', ' led to the idea that the old accounts actually referred to an ibis species instead. The idea that the ""solitaire"" and the subfossil ibis are identical was met with limited dissent, but is now widely accepted.\n', 'Combined, the old descriptions and subfossils show that the Réunion ibis was mainly white, with this colour merging into yellow and grey. The wing tips and plumes of ']"
Rufous-crowned sparrow,"['\n', 'See text\n', '\n', '\n', 'The ', ' (', ') is a small ', '. This ', ' is primarily found across the ', ' and much of the interior of Mexico, south to the ', ', and to the Pacific coast to the southwest of the transverse range. Its distribution is patchy, with populations often being isolated from each other. Twelve ', ' are generally recognized, though up to eighteen have been suggested. This bird has a brown back with darker streaks and gray underparts. The crown is ', ', and the face and ', ' are gray with a brown or rufous streak extending from each eye and a thick black ', ' streak.\n', 'These sparrows feed primarily on seeds in the winter and insects in the spring and summer. The birds are often territorial, with males guarding ', "" through song and displays. Flight is awkward for this species, which prefers to hop along the ground for locomotion. They are monogamous and breed during spring. Two to five eggs are laid in the bird's nest, which is cup-shaped and well hidden. Adult sparrows are preyed upon by house cats and small "", ', while young may be taken by a range of mammals and reptiles. They have been known to live for up to three years, two months. Although the species has been classified as ', ', or unthreatened with extinction, some subspecies are threatened by ', ' and one may be extinct.\n', 'This bird belongs to the family ']"
Rodrigues parrot,"['\n', '\n', 'The ', ' or ', ' (', ') is an ', ' species of ', ' that was ', ' to the ', ' island of ', ' in the ', ', east of ', '. It is unclear to which other species it is most closely related, but it is classified as a member of the ', ' ', ', along with other Mascarene parrots. The Rodrigues parrot bore similarities to the ', ' of ', ', and may have been related. Two additional species have been assigned to its ', ' (', ' and ', '), based on descriptions of parrots from the other Mascarene islands, but their identities and validity have been debated.\n', 'The Rodrigues parrot was green, and had a proportionally large head and beak and a long tail. Its exact size is unknown, but it may have been around 50\xa0cm (20\xa0in) long. It was the largest parrot on Rodrigues, and it had the largest head of any Mascarene parrot. It may have looked similar to the ']"
